league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
LaLiga,Real Sociedad,22/23,summer,Alexander Sørloth,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.5m,€10.0m,RB Leipzig,False,,1,5.575,5.064,,-0.189,0.5,0.2
LaLiga,Real Sociedad,22/23,summer,Jon Karrikaburu,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€5.0m,9899,False,,3,0.0,0.159,,-0.579,,-0.386
LaLiga,Real Sociedad,22/23,summer,Beñat Turrientes,MID,starter,2.0,addresses_problem|replaces_sold,,€3.0m,9899,False,,4,3.129,2.266,,-0.332,,1.195
LaLiga,Real Sociedad,22/23,summer,Robert Navarro,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€3.0m,9899,True,€850k,2,0.0,0.328,-0.956,-0.22,-0.5,0.167
LaLiga,Real Sociedad,22/23,summer,Roberto López,MID,starter,2.0,addresses_problem|replaces_sold,,€2.0m,9899,True,€0,1,0.0,0.0,-1.569,,-0.588,
LaLiga,Real Sociedad,22/23,summer,Jon Pacheco,CB,starter,2.0,addresses_problem|replaces_sold,,€1.0m,9899,False,,4,3.957,1.979,,-0.127,,2.105
LaLiga,Real Sociedad,22/23,summer,Andoni Zubiaurre,GK,rotation,1.0,replaces_sold|rotation_option,,€300k,9899,True,€0,1,0.0,0.0,0.0,,-0.556,0.556
LaLiga,Real Sociedad,22/23,summer,Álex Sola,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€300k,9899,True,€1.0m,2,2.54,0.365,2.0,-0.075,-0.5,0.75
LaLiga,Real Sociedad,23/24,summer,Arsen Zakharyan,MID,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€13.0m,€15.0m,121,False,,3,5.387,2.77,,1.261,0.222,1.133
LaLiga,Real Sociedad,23/24,summer,Álvaro Odriozola,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€3.0m,€5.0m,Real Madrid,False,,3,0.107,0.45,,-0.13,0.5,-0.713
LaLiga,Real Sociedad,23/24,summer,Kieran Tierney,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.4m,€25.0m,Arsenal FC,False,,1,2.775,2.631,,0.163,0.5,-0.52
LaLiga,Real Sociedad,23/24,summer,Hamari Traoré,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€10.0m,Stade Rennais FC,True,€4.5m,2,2.511,2.926,-0.733,0.018,0.5,-0.2
LaLiga,Real Sociedad,23/24,summer,Jon Ander Olasagasti,MID,rotation,1.0,replaces_sold|rotation_option,,€1.0m,9899,True,€500k,2,4.394,2.638,1.0,0.755,-0.5,0.5
LaLiga,Real Sociedad,23/24,summer,Urko González de Zárate,MID,rotation,1.0,replaces_sold|rotation_option,,€700k,9899,True,€5.0m,2,3.888,0.485,2.778,,0.0,0.625
LaLiga,Real Sociedad,23/24,summer,Unai Marrero,GK,rotation,1.0,replaces_sold|rotation_option,,€250k,9899,False,,3,3.624,0.685,,1.36,,1.579
LaLiga,Real Sociedad,23/24,winter,Sheraldo Becker,W,starter,2.0,addresses_problem|replaces_sold,€3.0m,€12.0m,1.FC Union Berlin,True,€0,2,0.149,1.721,-1.333,-0.079,0.0,-0.16
LaLiga,Real Sociedad,24/25,summer,Orri Óskarsson,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€20.0m,€5.0m,190,False,,2,2.651,1.866,,-0.164,-0.5,1.45
LaLiga,Real Sociedad,24/25,summer,Luka Sucic,MID,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€10.0m,€15.0m,409,False,,2,8.824,5.671,,1.403,0.5,1.25
LaLiga,Real Sociedad,24/25,summer,Sergio Gómez,LB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€8.7m,€10.0m,Manchester City,False,,2,7.007,5.756,,0.284,0.217,0.75
LaLiga,Real Sociedad,24/25,summer,Javi López,LB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€6.5m,€7.5m,Deportivo Alavés,False,,1,3.887,4.086,,-0.422,0.222,0.0
LaLiga,Real Sociedad,24/25,summer,Jon Aramburu,RB,rotation,1.0,rotation_option,,€2.5m,9899,False,,2,10.0,6.842,,1.472,,1.974
LaLiga,Real Sociedad,24/25,summer,Jon Martín,CB,rotation,1.0,replaces_sold|rotation_option,,€2.0m,9899,False,,2,9.216,5.672,,1.571,,1.974
LaLiga,Real Sociedad,24/25,summer,Pablo Marín,MID,rotation,1.0,replaces_sold|rotation_option,,€1.5m,9899,False,,2,9.647,6.512,,1.161,,1.974
LaLiga,Real Sociedad,24/25,summer,Jon Magunazelaia,MID,rotation,1.0,replaces_sold|rotation_option,,€1.0m,9899,True,€0,1,0.826,0.026,0.0,1.0,-0.5,0.3
LaLiga,Real Sociedad,24/25,summer,Jon Gorrotxategi,MID,rotation,1.0,replaces_sold|rotation_option,,€500k,9899,False,,1,10.0,6.842,,1.415,,2.368
LaLiga,Real Sociedad,25/26,summer,Yangel Herrera,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€11.0m,€15.0m,Girona FC,False,,1,0.909,1.111,,-0.246,0.444,-0.4
LaLiga,Real Sociedad,25/26,summer,Carlos Soler,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€6.0m,€18.0m,Paris Saint-Germain,False,,1,5.0,4.912,,0.144,0.5,-0.556
LaLiga,Real Sociedad,25/26,summer,Gonçalo Guedes,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€4.0m,€11.0m,Wolverhampton Wanderers,False,,1,4.025,3.869,,0.111,0.5,-0.455
LaLiga,Real Sociedad,25/26,summer,Duje Caleta-Car,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€500k,€7.0m,Olympique Lyon,False,,1,4.439,4.54,,-0.03,0.5,-0.571
LaLiga,Real Sociedad,25/26,summer,Mikel Goti,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€400k,9899,False,,1,0.0,0.195,,-1.47,,
Liga Portugal,FC Vizela,21/22,summer,Kévin Zohi,CF,starter,2.0,replaces_sold,€0,€2.0m,RC Strasbourg Alsace,True,€0,2,0.135,1.863,-1.333,-0.178,0.0,-0.217
Liga Portugal,FC Vizela,21/22,summer,Ivanildo Fernandes,CB,rotation,1.0,replaces_sold|rotation_option,€0,€1.0m,Sporting CP,True,,2,9.542,7.5,,0.886,0.625,0.531
Liga Portugal,FC Vizela,21/22,summer,Bruno Wilson,CB,starter,2.0,replaces_sold,€0,€1.0m,SC Braga,True,€0,3,2.266,3.542,-1.333,0.09,0.0,-0.033
Liga Portugal,FC Vizela,21/22,summer,Claudemir,MID,rotation,1.0,replaces_sold|rotation_option,€0,€900k,2381,True,€0,2,7.078,6.0,0.0,0.94,0.0,0.139
Liga Portugal,FC Vizela,21/22,summer,Igor Julião,RB,rotation,1.0,replaces_sold|rotation_option,€0,€850k,2462,True,€0,2,6.684,5.449,0.0,0.911,0.0,0.324
Liga Portugal,FC Vizela,21/22,summer,Charles,GK,rotation,1.0,replaces_sold|rotation_option,€0,€400k,CS Marítimo,True,€0,1,7.315,6.0,0.0,0.815,0.0,0.5
Liga Portugal,FC Vizela,21/22,summer,Tomás Silva,W,starter,2.0,replaces_sold,€0,,10949,False,,3,3.642,3.767,,-0.126,,
Liga Portugal,FC Vizela,21/22,summer,Alejandro Alvarado,MID,starter,2.0,replaces_sold,€0,,43041,False,,3,0.149,0.149,,,,
Liga Portugal,FC Vizela,21/22,summer,Alex Méndez,MID,starter,2.0,replaces_sold,,€500k,8817,False,,3,2.436,2.675,,-0.238,,-0.0
Liga Portugal,FC Vizela,21/22,winter,Osama Rashid,MID,rotation,1.0,replaces_sold|rotation_option,€0,€1.8m,26351,False,,3,3.868,1.731,,1.054,0.5,0.583
Liga Portugal,FC Vizela,21/22,winter,Anderson,CB,rotation,1.0,replaces_sold|rotation_option,€0,€600k,2863,False,,3,9.78,6.5,,1.28,0.5,1.5
Liga Portugal,FC Vizela,21/22,winter,Andrés Sarmiento,W,starter,2.0,replaces_sold,€0,€600k,6495,True,€0,2,0.0,0.178,-1.333,-0.516,0.0,-0.014
Liga Portugal,FC Vizela,22/23,summer,Luiz Felipe,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€600k,B SAD (2018-2024),True,€0,1,0.0,0.196,-1.333,0.317,0.0,-0.167
Liga Portugal,FC Vizela,22/23,summer,Matheus Pereira,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€400k,609,False,,2,4.216,3.419,,-0.203,0.5,0.5
Liga Portugal,FC Vizela,22/23,summer,Fabijan Buntic,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€250k,4795,False,,2,7.922,6.194,,-0.222,0.5,1.45
Liga Portugal,FC Vizela,22/23,summer,Carlos Isaac,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€200k,Deportivo Alavés,True,,1,1.506,0.934,,-0.261,0.625,0.208
Liga Portugal,FC Vizela,22/23,summer,Alexander Schmidt,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€400k,413,True,€0,1,0.0,0.688,-1.333,-0.099,-0.5,-0.083
Liga Portugal,FC Vizela,22/23,summer,Friday Etim,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€250k,91910,True,€1.0m,1,3.322,0.935,2.0,-0.179,0.5,0.067
Liga Portugal,FC Vizela,22/23,summer,Manuel Baldé,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€100k,91910,True,€0,1,0.0,0.0,-1.481,,-0.556,0.0
Liga Portugal,FC Vizela,23/24,summer,Diogo Nascimento,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€2.0m,€125k,10330,False,,1,6.175,5.103,,-0.303,-0.5,1.875
Liga Portugal,FC Vizela,23/24,summer,Dylan Saint-Louis,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€1.2m,7775,False,,1,0.012,0.574,,-0.478,0.5,-0.583
Liga Portugal,FC Vizela,23/24,summer,Rodrigo Escoval,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€500k,60949,False,,1,4.165,3.812,,,0.588,-0.235
Liga Portugal,FC Vizela,23/24,summer,Orest Lebedenko,LB,rotation,1.0,replaces_sold|rotation_option,€0,€500k,Deportivo de La Coruña,False,,1,9.571,6.5,,1.371,0.5,1.2
Liga Portugal,FC Vizela,23/24,summer,Jardel,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€425k,CD Feirense,False,,1,0.066,0.418,,-0.558,0.5,-0.294
Liga Portugal,FC Vizela,23/24,summer,Francesco Ruberto,GK,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€300k,1277,False,,1,1.829,1.334,,-0.005,0.5,0.0
Liga Portugal,FC Vizela,23/24,summer,Iker Unzueta,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€300k,33303,False,,1,0.029,0.057,,-0.528,0.5,0.0
Liga Portugal,FC Vizela,23/24,summer,Nikola Bursać,GK,starter,2.0,improves_problem|replaces_sold|rotation_option,,€50k,3137,False,,1,1.25,0.0,,,,1.25
Liga Portugal,FC Vizela,23/24,summer,Hugo Oliveira,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€125k,91910,False,,1,2.376,1.207,,-0.305,,1.474
Liga Portugal,FC Vizela,23/24,winter,Samuel Essende,CF,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€600k,€1.5m,SM Caen,False,,1,8.152,6.306,,0.012,0.5,1.333
Liga Portugal,FC Vizela,23/24,winter,Bruno Costa,MID,starter,2.0,addresses_problem|replaces_sold,€0,€1.2m,1423,False,,1,1.4,1.461,,-0.228,0.5,-0.333
Liga Portugal,FC Vizela,23/24,winter,Sava Petrov,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,,€500k,7567,False,,1,0.771,1.279,,-0.508,,0.0
Liga Portugal,FC Vizela,23/24,winter,Jota,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,,€500k,CD Tondela,False,,1,4.269,4.269,,,,0.0
Liga Portugal,FC Vizela,23/24,winter,Amadou Ba-Sy,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,,€300k,9202,False,,1,0.0,0.281,,-0.887,,0.0
Premier League,Nottingham Forest,22/23,summer,Morgan Gibbs-White,MID,starter,2.0,replaces_sold|significant_outlay,€29.5m,€11.0m,Wolverhampton Wanderers,False,,4,7.602,6.314,,0.195,-0.5,1.594
Premier League,Nottingham Forest,22/23,summer,Taiwo Awoniyi,CF,starter,2.0,replaces_sold|significant_outlay,€20.5m,€20.0m,1.FC Union Berlin,False,,4,1.457,1.762,,-0.238,-0.042,-0.025
Premier League,Nottingham Forest,22/23,summer,Neco Williams,LB,starter,2.0,replaces_sold|significant_outlay,€20.0m,€8.0m,Liverpool FC,False,,4,5.816,4.846,,0.063,-0.5,1.406
Premier League,Nottingham Forest,22/23,summer,Emmanuel Dennis,CF,starter,2.0,replaces_sold|significant_outlay,€14.8m,€14.0m,Watford FC,True,,3,0.0,0.582,,-0.244,-0.119,-0.271
Premier League,Nottingham Forest,22/23,summer,Moussa Niakhaté,CB,starter,2.0,replaces_sold|significant_outlay,€13.8m,€18.0m,1.FSV Mainz 05,True,€31.9m,2,4.533,2.557,1.749,-0.198,0.444,-0.019
Premier League,Nottingham Forest,22/23,summer,Orel Mangala,MID,starter,2.0,replaces_sold|significant_outlay,€13.0m,€15.0m,VfB Stuttgart,True,€23.4m,2,4.131,3.046,1.067,-0.301,0.253,0.067
Premier League,Nottingham Forest,22/23,summer,Giulian Biancone,CB,starter,2.0,replaces_sold|significant_outlay,€10.0m,€4.0m,ESTAC Troyes,True,,1,0.0,0.039,,-0.231,-0.625,0.208
Premier League,Nottingham Forest,22/23,summer,Lewis O'Brien,MID,starter,2.0,replaces_sold|significant_outlay,€9.4m,€3.5m,Huddersfield Town,True,€3.5m,3,0.0,0.377,-0.837,-0.216,-0.354,0.206
Premier League,Nottingham Forest,22/23,summer,Omar Richards,LB,starter,2.0,replaces_sold|significant_outlay,€8.5m,€7.0m,Bayern Munich,False,,1,0.0,0.0,,,-0.42,-0.336
Premier League,Nottingham Forest,22/23,summer,Remo Freuler,MID,starter,2.0,replaces_sold|significant_outlay,€8.3m,€20.0m,Atalanta BC,True,€1.9m,2,0.624,2.11,-1.028,-0.246,0.0,-0.212
Premier League,Nottingham Forest,22/23,summer,Renan Lodi,LB,starter,2.0,replaces_sold,€5.0m,€30.0m,Atlético de Madrid,False,,1,4.64,4.688,,-0.215,0.5,-0.333
Premier League,Nottingham Forest,22/23,summer,Ui-jo Hwang,MID,starter,2.0,replaces_sold,€4.0m,€7.0m,FC Girondins Bordeaux,True,,1,0.361,0.0,,,0.714,-0.354
Premier League,Nottingham Forest,22/23,summer,Willy Boly,CB,rotation,1.0,replaces_sold|rotation_option,€2.6m,€6.0m,Wolverhampton Wanderers,False,,4,4.938,2.614,,1.387,0.5,0.438
Premier League,Nottingham Forest,22/23,summer,Harry Toffolo,LB,rotation,1.0,replaces_sold|rotation_option,€2.4m,€2.5m,Huddersfield Town,True,€0,3,4.762,3.564,0.0,0.915,-0.217,0.5
Premier League,Nottingham Forest,22/23,summer,Josh Bowler,W,starter,2.0,replaces_sold,€2.3m,€2.0m,1181,True,€0,3,0.0,0.0,-1.481,,-0.417,-0.105
Premier League,Nottingham Forest,22/23,summer,Brandon Aguilera,MID,starter,2.0,replaces_sold,€950k,€125k,6478,True,,1,0.0,0.01,,-0.945,-0.625,0.583
Premier League,Nottingham Forest,22/23,summer,Jesse Lingard,MID,rotation,1.0,replaces_sold|rotation_option,€0,€18.0m,Manchester United,True,,1,6.778,5.082,,0.792,0.625,0.278
Premier League,Nottingham Forest,22/23,summer,Cheikhou Kouyaté,MID,rotation,1.0,replaces_sold|rotation_option,€0,€4.0m,Crystal Palace,True,,2,4.654,2.977,,0.817,0.625,0.234
Premier League,Nottingham Forest,22/23,summer,Wayne Hennessey,GK,rotation,1.0,replaces_sold|rotation_option,€0,€500k,Burnley FC,True,,2,3.024,0.743,,1.25,0.625,0.406
Premier League,Nottingham Forest,22/23,summer,Adnan Kanuric,GK,starter,2.0,replaces_sold,€0,€50k,282,True,,1,1.429,0.0,,,0.714,0.714
Premier League,Nottingham Forest,22/23,summer,Serge Aurier,RB,starter,2.0,replaces_sold,,€10.0m,515,True,€100k,2,0.772,2.712,-1.32,0.018,-0.5,-0.138
Premier League,Nottingham Forest,22/23,winter,Danilo,MID,starter,2.0,replaces_sold|significant_outlay,€20.0m,€25.0m,1023,True,€23.0m,3,2.491,2.205,0.222,,0.02,0.044
Premier League,Nottingham Forest,22/23,winter,Jonjo Shelvey,MID,starter,2.0,replaces_sold,€6.5m,€7.0m,Newcastle United,True,€0,1,0.0,1.057,-1.333,-0.376,-0.19,-0.095
Premier League,Nottingham Forest,22/23,winter,Chris Wood,CF,starter,2.0,replaces_sold,€4.5m,€10.0m,Newcastle United,False,,4,3.402,3.204,,-0.077,0.5,-0.225
Premier League,Nottingham Forest,22/23,winter,Felipe,CB,rotation,1.0,replaces_sold|rotation_option,€2.3m,€3.0m,Atlético de Madrid,True,,2,6.666,4.772,,1.043,0.486,0.365
Premier League,Nottingham Forest,22/23,winter,Gustavo Scarpa,MID,rotation,1.0,replaces_sold|rotation_option,€0,€12.0m,1023,True,€5.0m,1,2.86,0.785,0.833,0.714,0.111,0.417
Premier League,Nottingham Forest,22/23,winter,André Ayew,CF,rotation,1.0,replaces_sold|rotation_option,€0,€2.2m,656,True,,1,3.676,1.683,,0.856,0.625,0.511
Premier League,Nottingham Forest,23/24,summer,Ibrahim Sangaré,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€35.0m,€35.0m,PSV Eindhoven,False,,3,2.106,2.61,,-0.228,0.0,-0.276
Premier League,Nottingham Forest,23/24,summer,Anthony Elanga,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€22.9m,€18.0m,Manchester United,True,€61.4m,2,7.013,4.819,2.0,-0.087,0.022,0.259
Premier League,Nottingham Forest,23/24,summer,Chris Wood,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€17.0m,€8.0m,Newcastle United,False,,3,3.466,4.007,,0.0,-0.5,-0.042
Premier League,Nottingham Forest,23/24,summer,Andrew Omobamidele,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€12.8m,€6.0m,Norwich City,True,€10.5m,2,0.452,0.762,-0.244,-0.261,0.0,0.194
Premier League,Nottingham Forest,23/24,summer,Murillo,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€12.0m,€3.5m,199,False,,3,7.513,5.634,,0.128,-0.5,2.25
Premier League,Nottingham Forest,23/24,summer,Matt Turner,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€8.2m,€8.0m,Arsenal FC,True,€8.0m,1,3.091,2.982,-0.025,-0.06,0.234,-0.042
Premier League,Nottingham Forest,23/24,summer,Nicolás Domínguez,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€6.7m,€17.0m,Bologna FC 1909,False,,3,3.626,3.274,,-0.147,0.5,0.0
Premier League,Nottingham Forest,23/24,summer,Odysseas Vlachodimos,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€4.9m,€16.0m,SL Benfica,True,€23.6m,1,2.83,0.877,2.0,-0.36,0.5,-0.188
Premier League,Nottingham Forest,23/24,summer,Callum Hudson-Odoi,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€3.5m,€15.0m,Chelsea FC,False,,3,5.346,4.16,,0.063,0.5,0.622
Premier League,Nottingham Forest,23/24,summer,Nuno Tavares,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.1m,€18.0m,Arsenal FC,False,,1,1.095,0.961,,-0.2,0.5,-0.167
Premier League,Nottingham Forest,23/24,summer,Ola Aina,RB,starter,2.0,addresses_problem|replaces_sold,€0,€3.5m,Torino FC,False,,3,6.663,4.43,,-0.017,0.5,1.75
Premier League,Nottingham Forest,23/24,winter,Matz Sels,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€6.5m,€7.0m,RC Strasbourg Alsace,False,,3,4.831,5.058,,-0.203,0.119,-0.143
Premier League,Nottingham Forest,23/24,winter,Giovanni Reyna,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.0m,€20.0m,Borussia Dortmund,False,,1,0.442,0.486,,-0.444,0.5,-0.1
Premier League,Nottingham Forest,24/25,summer,Elliot Anderson,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€41.2m,€15.0m,Newcastle United,False,,2,7.316,6.146,,0.353,-0.5,1.317
Premier League,Nottingham Forest,24/25,summer,Nikola Milenković,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€12.3m,€15.0m,ACF Fiorentina,False,,2,8.033,6.5,,0.066,0.3,1.167
Premier League,Nottingham Forest,24/25,summer,Ramón Sosa,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€12.0m,€13.0m,3938,True,€12.5m,1,0.494,0.546,0.056,-0.181,0.099,-0.026
Premier League,Nottingham Forest,24/25,summer,Morato,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€11.0m,€15.0m,SL Benfica,False,,2,2.533,2.359,,-0.204,0.444,-0.067
Premier League,Nottingham Forest,24/25,summer,David Carmo,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€11.0m,€12.0m,FC Porto,False,,1,0.198,0.0,,,0.198,
Premier League,Nottingham Forest,24/25,summer,Jota Silva,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€7.0m,€12.0m,Vitória Guimarães SC,False,,2,1.266,0.899,,-0.383,0.5,0.25
Premier League,Nottingham Forest,24/25,summer,Marko Stamenić,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€5.5m,€5.0m,159,True,€2.0m,1,0.0,0.0,-0.998,,-0.392,
Premier League,Nottingham Forest,24/25,summer,Carlos Miguel,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,€4.0m,€4.0m,199,True,€5.5m,1,0.833,0.0,0.556,,0.278,0.0
Premier League,Nottingham Forest,24/25,summer,Eric da Silva Moreira,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.5m,€1.0m,FC St. Pauli,False,,2,0.0,0.03,,-0.587,-0.5,0.0
Premier League,Nottingham Forest,24/25,winter,Tyler Bindon,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€1.0m,1032,False,,1,0.25,0.0,,,,0.25
Premier League,Nottingham Forest,24/25,winter,Wayne Hennessey,GK,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€175k,515,True,,1,0.0,0.0,,,,-0.073
Premier League,Nottingham Forest,25/26,summer,Omari Hutchinson,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€43.4m,€22.0m,Ipswich Town,False,,1,3.141,3.556,,-0.279,-0.5,0.364
Premier League,Nottingham Forest,25/26,summer,Dan Ndoye,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€42.0m,€35.0m,Bologna FC 1909,False,,1,1.837,2.483,,-0.314,-0.333,0.0
Premier League,Nottingham Forest,25/26,summer,Dilane Bakwa,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€35.0m,€25.0m,RC Strasbourg Alsace,False,,1,0.339,1.168,,-0.449,-0.5,0.12
Premier League,Nottingham Forest,25/26,summer,Arnaud Kalimuendo,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€30.0m,€22.0m,Stade Rennais FC,False,,1,1.137,0.492,,1.234,-0.588,
Premier League,Nottingham Forest,25/26,summer,James McAtee,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€25.5m,€20.0m,Manchester City,False,,1,0.0,0.61,,-0.564,-0.458,0.0
Premier League,Nottingham Forest,25/26,summer,Igor Jesus,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€19.0m,€15.0m,537,False,,1,8.874,6.5,,1.319,-0.444,1.5
Premier League,Nottingham Forest,25/26,summer,Nicolò Savona,RB,starter,2.0,improves_problem|replaces_sold|significant_outlay,€13.0m,€12.0m,Juventus FC,False,,1,2.256,2.167,,-0.272,-0.139,0.5
Premier League,Nottingham Forest,25/26,summer,Jair Cunha,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€12.0m,€13.0m,537,False,,1,4.664,2.884,,,0.151,1.629
Premier League,Nottingham Forest,25/26,summer,John Victor,GK,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€8.0m,€8.0m,537,False,,1,3.949,2.081,,0.555,0.0,1.312
Premier League,Nottingham Forest,25/26,summer,Cuiabano,LB,rotation,1.0,replaces_sold|rotation_option,€6.0m,€8.0m,537,False,,1,0.595,0.0,,,0.595,
Premier League,Nottingham Forest,25/26,summer,Douglas Luiz,MID,starter,2.0,addresses_problem|replaces_sold,€2.9m,€30.0m,Juventus FC,False,,1,1.224,0.788,,-0.152,0.588,
Premier League,Nottingham Forest,25/26,summer,Angus Gunn,GK,rotation,1.0,replaces_sold|rotation_option,€0,€2.2m,Norwich City,False,,1,2.622,0.214,,0.885,0.5,1.023
Premier League,Nottingham Forest,25/26,summer,Zach Abbott,CB,rotation,1.0,replaces_sold|rotation_option,,€300k,38588,False,,1,3.957,0.83,,0.758,,2.368
Premier League,Nottingham Forest,25/26,winter,Luca Netz,LB,rotation,1.0,replaces_sold|rotation_option,€2.5m,€6.0m,Borussia Mönchengladbach,False,,1,5.163,1.687,,1.476,0.5,1.5
Premier League,Nottingham Forest,25/26,winter,Lorenzo Lucca,CF,rotation,1.0,replaces_sold|rotation_option,€2.0m,€25.0m,SSC Napoli,False,,1,4.027,0.603,,1.424,0.5,1.5
Premier League,Nottingham Forest,25/26,winter,Stefan Ortega,GK,rotation,1.0,replaces_sold|rotation_option,€580k,€5.0m,Manchester City,False,,1,4.783,1.283,,1.5,0.5,1.5
LaLiga,RCD Espanyol Barcelona,19/20,summer,Matías Vargas,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€10.5m,€11.0m,1029,True,€4.0m,1,0.675,1.986,-0.825,-0.213,-0.212,-0.061
LaLiga,RCD Espanyol Barcelona,19/20,summer,Fernando Calero,CB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€8.0m,€10.0m,Real Valladolid CF,False,,5,2.109,2.788,,-0.239,0.333,-0.774
LaLiga,RCD Espanyol Barcelona,19/20,summer,Ander Iturraspe,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€2.5m,Athletic Bilbao,False,,1,0.242,0.515,,-0.573,0.5,-0.2
LaLiga,RCD Espanyol Barcelona,19/20,summer,Andrés Prieto,GK,rotation,1.0,replaces_sold|rotation_option,€0,€200k,CD Leganés,False,,1,0.5,0.0,,-1.5,0.5,1.5
LaLiga,RCD Espanyol Barcelona,19/20,summer,Adrià Pedrosa,LB,starter,2.0,improves_problem|replaces_sold,,€10.0m,10773,False,,3,2.442,2.987,,-0.299,,-0.246
LaLiga,RCD Espanyol Barcelona,19/20,summer,Víctor Campuzano,CF,rotation,1.0,replaces_sold|rotation_option,,€300k,10773,False,,1,7.34,4.341,,1.025,,1.974
LaLiga,RCD Espanyol Barcelona,19/20,summer,Lluís López,CB,starter,2.0,addresses_problem|replaces_sold,,€300k,10773,True,€0,1,0.0,0.583,-1.333,-0.349,-0.5,0.5
