league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Serie A,US Lecce,23/24,summer,Ylber Ramadani,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.2m,€800k,370,False,,3,6.364,5.539,,-0.133,-0.5,1.458
Serie A,US Lecce,23/24,summer,Rémi Oudin,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.0m,€4.0m,FC Girondins Bordeaux,True,,2,2.951,2.585,,-0.103,0.625,-0.156
Serie A,US Lecce,23/24,summer,Giacomo Faticanti,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.0m,€800k,11997,False,,1,0.0,0.0,,,-0.49,0.0
Serie A,US Lecce,23/24,summer,Hamza Rafia,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€800k,€600k,2921,True,,3,1.654,1.848,,-0.159,-0.625,0.59
Serie A,US Lecce,23/24,summer,Patrick Dorgu,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€220k,€400k,14355,True,€30.0m,2,7.458,3.319,3.0,-0.111,0.5,0.75
Serie A,US Lecce,23/24,summer,Zinedin Smajlović,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€100k,,46434,True,€0,1,0.0,0.0,-1.569,,-0.588,
Serie A,US Lecce,23/24,summer,Lorenzo Venuti,RB,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,ACF Fiorentina,True,€0,1,2.493,1.566,0.0,0.627,0.0,0.3
Serie A,US Lecce,23/24,summer,Nicola Sansone,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€1.5m,515,True,,2,0.469,1.054,,-0.348,,-0.237
Serie A,US Lecce,23/24,summer,Rareș Burnete,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€700k,5618,False,,2,0.0,0.034,,-1.162,,0.0
Serie A,US Lecce,23/24,summer,Jeppe Corfitzen,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€200k,5618,True,,2,0.0,0.01,,-0.767,,0.278
Serie A,US Lecce,23/24,winter,Santiago Pierotti,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.2m,€2.5m,1070,False,,3,3.805,3.341,,-0.436,0.5,0.4
Serie A,US Lecce,24/25,summer,Filip Marchwinski,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€3.0m,€6.0m,238,False,,2,0.0,0.015,,-0.441,0.5,-0.625
Serie A,US Lecce,24/25,summer,Gaspar,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€2.0m,€1.5m,CF Estrela Amadora,False,,2,5.722,4.938,,,-0.588,1.373
Serie A,US Lecce,24/25,summer,Lassana Coulibaly,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.8m,€3.5m,US Salernitana 1919,False,,2,5.627,5.669,,-0.214,0.5,-0.329
Serie A,US Lecce,24/25,summer,Christian Früchtl,GK,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€1.0m,€1.5m,14,False,,2,1.941,0.0,,,0.588,1.353
Serie A,US Lecce,24/25,summer,Gaby Jean,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€1.0m,€900k,30204,False,,2,2.193,1.667,,-0.233,-0.185,0.944
Serie A,US Lecce,24/25,summer,Luis Hasa,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€150k,€1.0m,41101,True,€500k,1,2.222,0.0,2.222,,0.0,0.0
Serie A,US Lecce,24/25,summer,Frédéric Guilbert,RB,rotation,1.0,replaces_sold|rotation_option,€0,€4.0m,RC Strasbourg Alsace,True,€0,1,7.312,6.0,0.0,1.0,0.0,0.312
Serie A,US Lecce,24/25,summer,Tete Morente,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€2.5m,Elche CF,True,€0,2,1.196,2.815,-1.333,-0.219,0.0,-0.067
Serie A,US Lecce,24/25,summer,Ante Rebić,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€2.2m,114,True,€0,1,0.0,1.515,-1.333,-0.267,0.0,-0.182
Serie A,US Lecce,24/25,summer,Balthazar Pierret,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€1.0m,7124,True,€100k,2,0.541,1.706,-1.2,-0.197,0.0,0.233
Serie A,US Lecce,24/25,summer,Sebastian Esposito,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,,€200k,5618,False,,1,0.0,0.0,,,,0.0
Serie A,US Lecce,24/25,summer,Ed McJannet,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€150k,5618,False,,1,0.0,0.0,,,,0.0
Serie A,US Lecce,24/25,summer,Vernon Addo,LB,starter,2.0,improves_problem,,€150k,5618,False,,1,0.417,0.0,,,,0.417
Serie A,US Lecce,24/25,summer,Dario Daka,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€75k,5618,True,€0,1,0.0,0.0,-1.481,,-0.556,0.123
Serie A,US Lecce,24/25,winter,Konan N’Dri,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.5m,€1.5m,2727,False,,2,0.979,1.019,,,0.0,-0.039
Serie A,US Lecce,24/25,winter,Tiago Gabriel,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€1.2m,€400k,CF Estrela Amadora,False,,2,4.859,3.349,,0.134,-0.5,1.875
Serie A,US Lecce,24/25,winter,Danilo Veiga,RB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€1.0m,€1.0m,CF Estrela Amadora,False,,2,6.96,4.117,,1.343,0.0,1.5
Serie A,US Lecce,25/26,summer,Jamil Siebert,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.5m,€4.0m,Fortuna Düsseldorf,False,,1,3.203,3.59,,-0.012,-0.5,0.125
Serie A,US Lecce,25/26,summer,Nikola Stulic,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€5.0m,€4.0m,172,False,,1,8.603,6.5,,1.207,-0.417,1.312
Serie A,US Lecce,25/26,summer,Álex Sala,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€1.5m,€1.0m,993,False,,1,0.0,0.34,,-0.481,-0.5,0.0
Serie A,US Lecce,25/26,summer,Christ-Owen Kouassi,RB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€1.0m,€2.0m,1080,False,,1,0.616,0.566,,-0.538,0.588,
Serie A,US Lecce,25/26,summer,Milos Jovic,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€1.0m,€500k,32113,False,,1,0.0,0.0,,,-0.714,
Serie A,US Lecce,25/26,summer,Corrie Ndaba,LB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€930k,€350k,2553,False,,1,1.7,1.138,,-0.438,-0.5,1.5
Serie A,US Lecce,25/26,summer,Matías Pérez,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€525k,€300k,19027,False,,1,0.462,0.068,,0.228,-0.5,0.667
Serie A,US Lecce,25/26,summer,Riccardo Sottil,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€500k,€5.0m,ACF Fiorentina,False,,1,2.199,2.264,,-0.165,0.5,-0.4
Serie A,US Lecce,25/26,winter,Omri Gandelman,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€3.0m,€5.0m,157,False,,1,1.641,2.067,,-0.526,0.5,-0.4
Serie A,US Lecce,25/26,winter,Oumar Ngom,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.0m,€600k,CF Estrela Amadora,False,,1,2.772,1.774,,-0.376,-0.5,1.875
Serie A,US Lecce,25/26,winter,Sadik Fofana,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€600k,€600k,316,False,,1,0.0,0.171,,-0.721,0.0,0.333
Premier League,Watford FC,19/20,summer,Ismaïla Sarr,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€30.0m,€30.0m,Stade Rennais FC,False,,2,3.683,4.112,,-0.287,0.0,-0.142
Premier League,Watford FC,19/20,summer,Craig Dawson,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€6.0m,€6.0m,West Bromwich Albion,True,€2.3m,1,3.455,4.598,-0.822,-0.06,-0.194,-0.067
Premier League,Watford FC,19/20,summer,Danny Welbeck,CF,rotation,1.0,replaces_sold|rotation_option,€0,€12.0m,Arsenal FC,False,,1,6.128,3.929,,1.011,0.5,0.688
